RENGLÓN|CÓDIGO DE INSUMO|NOMBRE|CARACTERÍSTICAS|NOMBRE DE LA PRESENTACIÓN|CANTIDAD Y UNIDAD DE MEDIDA DE LA PRESENTACIÓN|CÓDIGO DE PRESENTACIÓN
266|266|CEFADROXILO|Concentración: 250mg/5ml; Forma farmacéutica: Polvo para suspensión; Vía de administración: Oral;|Frasco|60 Mililitro|365
266|285|CEFIXIMA|Concentración: 100/5 mg/ml; Forma  farmacéutica: Polvo para suspensión; Vía de administración: Oral;|Frasco|50 Mililitro|384
266|286|CEFIXIMA|Concentración: 400 mg; Forma  farmacéutica: Cápsula; Vía de administración: Oral;|Empaque|5 Unidad(es)|179874
266|288|CEFIXIMA|Concentración: 400 mg; Forma  farmacéutica: Tableta; Vía de administración: Oral;|Empaque|10 Unidad(es)|178840
266|300|CEFTRIAXONA| Concentración: 1g;  Forma farmacéutica: Solución inyectable;  Vía de administración: Intravenosa; |Ampolla|1 Unidad(es)|56464
266|300|CEFTRIAXONA| Concentración: 1g;  Forma farmacéutica: Solución inyectable;  Vía de administración: Intravenosa; |Vial|1 Unidad(es)|399
266|301|CEFTRIAXONA| Concentración: 1g;  Forma farmacéutica: Polvo liofilizado;  Vía de administración: Intramuscular; |Ampolla|1 Unidad(es)|56466
266|331|CIPROFIBRATO|Concentración: 100 mg; Presentación: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|177750
266|350|CLARITROMICINA|Concentración: 250mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Unidad|1 Unidad(es)|452
266|365|CLONAZEPAM|Concentración: 2.5mg/ml; Forma farmacéutica: Solución; Vía de administración: Oral;|Frasco gotero|10 Mililitro|467
266|366|CLONAZEPAM|Concentración: 2mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|149536
266|366|CLONAZEPAM|Concentración: 2mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|77884
266|379|CLORANFENICOL OFTÁLMICO|Concentración: 0.5%; Forma farmacéutica: Solución; Vía de administración: Oftálmica;|Frasco gotero|15 Mililitro|27674
266|383|CLORFENIRAMINA MALEATO|Concentración: 2mg / 5ml; Forma farmacéutica: Jarabe; Vía de administración: Oral;|Frasco|120 Mililitro|28362
266|385|CLORFENIRAMINA MALEATO|Concentración: 4 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|96550
266|385|CLORFENIRAMINA MALEATO|Concentración: 4 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|99968
266|385|CLORFENIRAMINA MALEATO|Concentración: 4 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|487
266|389|CLORHEXIDINA GLUCONATO|Concentración: 5%; Vía de administración: Tópico;|Envase|1 Litro|56259
266|415|CLOTRIMAZOL| Concentración: 100 mg;  Forma farmacéutica: Óvulo;  Vía de administración: Vaginal; |Empaque|6 Unidad(es)|181318
266|440|DEXAMETASONA|Concentración: 4mg/1ml; Forma farmacéutica: Líquido inyectable; Vía de administración: Intra muscular;|Ampolla|1 Mililitro|545
266|445|DEXAMETASONA + NEOMICINA|Concentración: 1% (1mg)+0.35%; Presentación: Frasco gotero; Vía de administración: Oftálmico;|Unidad|1 Unidad(es)|550
266|453|DEXKETOPROFENO TROMETAMOL|Concentración: 25mg; Presentación: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|161287
266|474|DICLOFENACO POTÁSICO|Concentración: 50 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|31053
266|474|DICLOFENACO POTÁSICO|Concentración: 50 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|139840
266|474|DICLOFENACO POTÁSICO|Concentración: 50 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|587
266|480|DICLOFENACO SÓDICO|Concentración: 50mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|593
266|492|DICLOXACILINA SÓDICA|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|605
266|493|DICLOXACILINA SÓDICA|Concentración: 125mg/5ml; Forma farmacéutica: Polvo liofilizado; Vía de administración: Oral;|Frasco|60 Mililitro|606
266|514|DIMENHIDRINATO| Concentración: 50mg/2ml;  Forma farmacéutica: Ampolla;  Vía de administración: Intravenosa/intramuscular; |Ampolla|1 Unidad(es)|627
266|515|DIMENHIDRINATO|Concentración: 25 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|628
266|517|DIMENHIDRINATO|Concentración: 50 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|46839
266|517|DIMENHIDRINATO|Concentración: 50 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|630
266|591|ESOMEPRAZOL| Concentración: 40mg;  Presentación: Vial;  Vía de administración: Intravenosa; |Vial|1 Unidad(es)|706
266|661|FLUCONAZOL|Concentración: 150 mg; Presentación: Cápsula/tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|778
266|672|FLUOXETINA CLORHIDRATO|Concentración: 20mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Caja|28 Unidad(es)|177769
266|672|FLUOXETINA CLORHIDRATO|Concentración: 20mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Caja|30 Unidad(es)|137509
266|717|GABAPENTINA|Concentración: 300mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Empaque|30 Unidad(es)|188184
266|776|HIDROCORTISONA|Concentración: 0.25%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|15 Gramos|56284
266|780|HIDROCORTISONA CREMA|Concentración: 1%; Forma farmacéutica: Tubo; Vía de administración: Tópico;|Envase|15 Gramos|181008
266|780|HIDROCORTISONA CREMA|Concentración: 1%; Forma farmacéutica: Tubo; Vía de administración: Tópico;|Unidad|1 Unidad(es)|912
266|782|HIDROXICINA|Concentración: 25 mg; Presentación: Cápsula; Vía de administración: Oral;|Empaque|30 Unidad(es)|183470
266|799|IBUPROFENO|Acción: Antiinflamatorio; Concentración: 100mg/5ml; Forma  farmacéutica: Jarabe/frasco; Vía de administración: Oral;|Frasco|120 Mililitro|56056
266|800|IBUPROFENO|Acción: Antiinflamatorio; Concentración: 600mg; Forma  farmacéutica: Tableta; Vía de administración: Oral;|Caja|50 Unidad(es)|102088
266|800|IBUPROFENO|Acción: Antiinflamatorio; Concentración: 600mg; Forma  farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|933
266|801|IBUPROFENO| Acción: Antinflamatorio;  Concentración: 400mg;  Forma  farmacéutica: Tableta;  Vía de administración: Oral; |Caja|100 Unidad(es)|113047
266|801|IBUPROFENO| Acción: Antinflamatorio;  Concentración: 400mg;  Forma  farmacéutica: Tableta;  Vía de administración: Oral; |Caja|50 Unidad(es)|183407
266|801|IBUPROFENO| Acción: Antinflamatorio;  Concentración: 400mg;  Forma  farmacéutica: Tableta;  Vía de administración: Oral; |Unidad|1 Unidad(es)|934
266|867|IVERMECTINA|Concentración: 6 mg; Presentación: Tableta; Vía de administración: Oral;|Empaque|6 Unidad(es)|181404
266|877|KETOCONAZOL|Concentración: 2%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|15 Gramos|1016
266|877|KETOCONAZOL|Concentración: 2%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|30 Gramos|27794
266|893|LACTULOSA|Concentración: 10 g/15ml; Forma farmacéutica: Jarabe; Vía de administración: Oral;|Frasco|120 Mililitro|66732
266|893|LACTULOSA|Concentración: 10 g/15ml; Forma farmacéutica: Jarabe; Vía de administración: Oral;|Frasco|200 Mililitro|1034
266|893|LACTULOSA|Concentración: 10 g/15ml; Forma farmacéutica: Jarabe; Vía de administración: Oral;|Frasco|240 Mililitro|55247
266|902|LAMOTRIGINA|Concentración: 100 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|172169
266|902|LAMOTRIGINA|Concentración: 100 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|77862
266|906|LANSOPRAZOL|Concentración: 30mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Blíster|10 Unidad(es)|39136
266|906|LANSOPRAZOL|Concentración: 30mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Unidad|1 Unidad(es)|37921
266|925|LEVOFLOXACINA|Concentración: 500mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1068
266|929|LEVONORGESTREL + ETINILESTRADIOL|Concentración: 0.15 + 0.03 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|21 Unidad(es)|32698
266|930|LEVOTIROXINA|Concentración: 50mcg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|50 Unidad(es)|177782
266|940|LIDOCAÍNA DENTAL|Con epinefrina: Si; Concentración: 2% y 1:100,000; Forma farmacéutica: Líquido inyectable; Vía de administración: Períodontal;|Caja|50 Unidad(es)|63302
266|952|LOPERAMIDA CLORHIDRATO|Concentración: 2 mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Blíster|10 Unidad(es)|151019
266|952|LOPERAMIDA CLORHIDRATO|Concentración: 2 mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Unidad|1 Unidad(es)|1095
266|959|LORATADINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|189346
266|959|LORATADINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|100 Unidad(es)|113048
266|959|LORATADINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1102
266|962|LORATADINA|Concentración: 5mg/5ml; Presentación: Jarabe/frasco; Vía de administración: Oral;|Frasco|100 Mililitro|61016
266|1011|METFORMINA|Concentración: 1000mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1155
266|1025|METOCARBAMOL|Concentración: 750 mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1170
266|1030|METOCLOPRAMIDA CLORHIDRATO|Concentración: 10 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|181370
266|1045|METRONIDAZOL|Concentración: 500 mg; Forma farmacéutica: Óvulo; Vía de administración: Vaginal;|Caja|10 Unidad(es)|167613
266|1046|METRONIDAZOL|Concentración: 500 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1192
266|1050|METRONIDAZOL + NISTATINA|Concentración: 500 mg + 100,000 u.i.; Forma farmacéutica: Óvulo; Vía de administración: Vaginal;|Caja|10 Unidad(es)|148858
266|1087|NAPROXENO|Concentración: 550mg; Presentación: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|141667
266|1111|NISTATINA|Concentración: 100,000 ui/1ml; Forma farmacéutica: Líquido; Vía de administración: Oral;|Frasco gotero|30 Mililitro|31997
266|1136|OLANZAPINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|28 Unidad(es)|142811
266|1136|OLANZAPINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|191123
266|1136|OLANZAPINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Empaque|10 Unidad(es)|193263
266|1136|OLANZAPINA|Concentración: 10 mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1285
266|1142|OMEPRAZOL|Concentración: 20mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1291
266|1143|OMEPRAZOL|Concentración: 20mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Blíster|10 Unidad(es)|177751
266|1158|OXCARBAZEPINA|Concentración: 300mg/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Envase|120 Mililitro|180453
266|1160|OXCARBAZEPINA|Concentración: 300mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1309
266|1185|PAROXETINA|Concentración: 20 mg; Presentación: Tableta; Vía de administración: Oral;|Empaque|30 Unidad(es)|202528
266|1185|PAROXETINA|Concentración: 20 mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1335
266|1193|PENICILINA BENZATÍNICA|Concentración: 1200000 ui; Forma farmacéutica: Solución inyectable; Vía de administración: Intramuscular;|Vial|1 Unidad(es)|1343
266|1194|PENICILINA BENZATÍNICA|Concentración: 2400000 ui; Forma farmacéutica: Solución inyectable; Vía de administración: Intramuscular;|Vial|1 Unidad(es)|1344
266|1203|PERMETRINA|Concentración: 5%; Forma farmacéutica: Crema; Vía de administración: Tópico;|Tubo|60 Gramos|1353
266|1247|PROPAFENONA CLORHIDRATO|Concentración: 150 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|175865
266|1258|PSYLLIUM PLÁNTAGO|Concentración: 400 gr; Presentación: Polvo; Vía de administración: Oral;|Bote|400 Gramos|54482
266|1258|PSYLLIUM PLÁNTAGO|Concentración: 400 gr; Presentación: Polvo; Vía de administración: Oral;|Frasco|1 Unidad(es)|1411
266|1260|QUETIAPINA|Concentración: 300mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Caja|30 Unidad(es)|183227
266|1260|QUETIAPINA|Concentración: 300mg; Forma farmacéutica: Cápsula; Vía de administración: Oral;|Unidad|1 Unidad(es)|1413
266|1279|RISPERIDONA|Concentración: 1 mg; Presentación: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|125811
266|1280|RISPERIDONA| Concentración: 2mg;  Presentación: Tableta;  Vía de administración: Oral; |Caja|20 Unidad(es)|184160
266|1280|RISPERIDONA| Concentración: 2mg;  Presentación: Tableta;  Vía de administración: Oral; |Caja|30 Unidad(es)|139419
266|1285|RISPERIDONA|Concentración: 1mg/1ml; Presentación: Frasco; Vía de administración: Oral;|Frasco|60 Mililitro|55970
266|1299|LEVADURA (SACCHAROMYCES BOULARDII)| Concentración: 200mg;  Forma farmacéutica: Polvo;  Vía de administración: Oral; |Caja|100 Unidad(es)|126416
266|1299|LEVADURA (SACCHAROMYCES BOULARDII)| Concentración: 200mg;  Forma farmacéutica: Polvo;  Vía de administración: Oral; |Caja|50 Unidad(es)|129897
266|1299|LEVADURA (SACCHAROMYCES BOULARDII)| Concentración: 200mg;  Forma farmacéutica: Polvo;  Vía de administración: Oral; |Sobre|1 Unidad(es)|1452
266|1301|SALBUTAMOL|Concentración: 5mg/ml; Forma farmacéutica: Solución para nebulización; Vía de administración: Inhalado;|Frasco|20 Mililitro|41773
266|1303|SALBUTAMOL|Concentración: 100mcg/dosis; Forma farmacéutica: Inhalador; Vía de administración: Nasal;|Unidad|1 Unidad(es)|1456
266|1313|SECNIDAZOL|Concentración: 500 mg; Presentación: Tableta; Vía de administración: Oral;|Blíster|4 Unidad(es)|65473
266|1316|SERTRALINA HIDROCLORURO|Concentración: 50mg; Presentación: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|125816
266|1316|SERTRALINA HIDROCLORURO|Concentración: 50mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1469
266|1317|SERTRALINA HIDROCLORURO|Concentración: 100mg; Presentación: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1470
266|1350|SUCRALFATO|Concentración: 1g/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Frasco|200 Mililitro|56703
266|1350|SUCRALFATO|Concentración: 1g/5ml; Forma farmacéutica: Suspensión; Vía de administración: Oral;|Frasco|240 Mililitro|56704
266|1352|SUERO ORAL, SOLUCIÓN HIDRATANTE|Concentración: 45 meq; Forma farmacéutica: Frasco; Vía de administración: Oral;|Frasco|500 Mililitro|1506
266|1359|SULFATO DE NEOMICINA + CLOSTEBOL ACETATO|Forma farmacéutica: Crema; Vía de administración: Tópica;|Tubo|30 Gramos|27694
266|1361|SULTAMICILINA (AMPICILINA + SULBACTAM)|Concentración: 375 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|159793
266|1382|TERBINAFINA|Concentración: 250 mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Blíster|10 Unidad(es)|141371
266|1422|TOPIRAMATO|Concentración: 100mg; Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|28 Unidad(es)|177775
266|1468|VITAMINA E|Concentración: 400 u.i.; Forma farmacéutica: Cápsula de gelatina blanda; Vía de administración: Oral;|Caja|30 Unidad(es)|166878
266|1471|VITAMINAS MULTIPLES CON FLÚOR (PRENATALES) (MULTIVITAMÍNICO PRENATAL CON FLUOR)|Forma farmacéutica: Tableta; Vía de administración: Oral;|Caja|30 Unidad(es)|153700
266|1471|VITAMINAS MULTIPLES CON FLÚOR (PRENATALES) (MULTIVITAMÍNICO PRENATAL CON FLUOR)|Forma farmacéutica: Tableta; Vía de administración: Oral;|Unidad|1 Unidad(es)|1629
241|1562|PAPEL BOND| Color: Blanco;  Grado: 1;  Gramaje: 56 Gramos;  Procedencia: Nacional;  Tamaño: Carta; |Resma|500 Unidad(es)|1801
241|1569|PAPEL BOND| Color: Blanco;  Grado: 1;  Gramaje: 80 Gramos;  Tamaño: Carta; |Resma|500 Unidad(es)|1810
241|1571|PAPEL BOND| Color: Blanco;  Grado: 1;  Gramaje: 80 Gramos;  Tamaño: Oficio; |Resma|500 Unidad(es)|1812
241|1592|PAPEL BOND| Color: Blanco;  Gramaje: 75 Gramos;  Tamaño: Carta; |Caja|5000 Unidad(es)|119518
241|1592|PAPEL BOND| Color: Blanco;  Gramaje: 75 Gramos;  Tamaño: Carta; |Resma|500 Unidad(es)|1833
241|1593|PAPEL BOND| Color: Blanco;  Gramaje: 75 Gramos;  Tamaño: Oficio; |Caja|5000 Unidad(es)|119517
241|1593|PAPEL BOND| Color: Blanco;  Gramaje: 75 Gramos;  Tamaño: Oficio; |Resma|500 Unidad(es)|1834
241|1594|PAPEL|Color: Blanco; Procedencia: Nacional; Tamaño: Carta; Tipo: Para fotocopiadora;|Resma|500 Unidad(es)|1835
241|1595|PAPEL|Color: Blanco; Procedencia: Nacional; Tamaño: Oficio; Tipo: Para fotocopiadora;|Resma|500 Unidad(es)|1836
286|1706|AZADÓN| Ancho: 7 Pulgadas;  Cabo: Si;  Largo: 8 Pulgadas; |Unidad|1 Unidad(es)|2026
286|1732|PALA|Cabo: Si; Tamaño: Estándar; Tamaño cabo: Corto; Tipo punta: Cuadrada;|Unidad|1 Unidad(es)|2052
283|1775|LLAVE DE CHORRO| Diámetro: 1/2 pulgada;  Tipo: Con rosca; |Unidad|1 Unidad(es)|2095
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Bote|1 Galón|35194
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Botella|1 Litro|35195
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Botella|800 Mililitro|38238
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Envase|3000 Mililitro|183942
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Envase|3200 Mililitro|178891
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Envase|3400 Mililitro|32147
211|1821|ACEITE|Tipo: Comestible vegetal (semilla de girasol);|Envase|3750 Mililitro|181345
211|1831|ARROZ|Clase: Primera calidad; Procedencia: Nacional; Tipo: Grano;|Saco|25 Libra|36244
253|1930|LLANTA|Clase: Todo terreno; Medida: 195 r14c; Pliegos: 8; Tipo: Radial;|Unidad|1 Unidad(es)|2258
291|2004|MARCADOR|Color: Amarillo; Uso: Resaltador;|Unidad|1 Unidad(es)|2317
291|2014|BOLÍGRAFO|Color: Negro; Dimensión: 0.7 Milímetro(s); Tipo de punta: Fina;|Caja|12 Unidad(es)|30579
291|2020|CLIP|Tamaño: 33 mm;|Caja|100 Unidad(es)|2332
291|2021|FASTENER|Material: Plástico;|Caja|50 Unidad(es)|6113
291|2021|FASTENER|Material: Plástico;|Paquete|100 Unidad(es)|161131
291|2022|CLIP|Material: Metal (sin forro); Tamaño: Jumbo;|Caja|100 Unidad(es)|2333
291|2025|MARCADOR|Color: Negro; Tipo: Permanente;|Caja|12 Unidad(es)|34817
291|2025|MARCADOR|Color: Negro; Tipo: Permanente;|Unidad|1 Unidad(es)|2336
291|2049|MARCADOR|Característica: Largo; Color: Azul; Tipo: Permanente;|Caja|12 Unidad(es)|43533
291|2049|MARCADOR|Característica: Largo; Color: Azul; Tipo: Permanente;|Unidad|1 Unidad(es)|2359
291|2051|MARCADOR|Característica: Largo; Color: Rojo; Tipo: Permanente;|Caja|12 Unidad(es)|43532
291|2051|MARCADOR|Característica: Largo; Color: Rojo; Tipo: Permanente;|Unidad|1 Unidad(es)|2361
291|2052|ENGRAPADORA|Material: Metal; Tamaño: Mediana;|Unidad|1 Unidad(es)|5256
291|2057|MARCADOR|Característica: Punto grueso biselado; Color: Anaranjado; Uso: Resaltador;|Unidad|1 Unidad(es)|2366
291|2063|HUMEDECEDOR|Material: Glicerina; Uso: Dedos;|Frasco|2 Onza|66078
291|2065|MARCADOR|Característica: Punto grueso biselado; Color: Rosado; Uso: Resaltador;|Unidad|1 Unidad(es)|2374
291|2068|CORRECTOR|Característica: Líquido tipo pluma;|Unidad|1 Unidad(es)|2377
291|2070|SACAGRAPA|Tipo: De uña;|Unidad|1 Unidad(es)|2379
291|2071|SACAPUNTAS|Material: Metal;|Unidad|1 Unidad(es)|2380
291|2075|FOLIADORA (NUMERADORA)|Cantidad de dígitos: 6; Tipo: Automático;|Unidad|1 Unidad(es)|2386
291|2085|MARCADOR|Color: Verde; Punto: Grueso biselado; Uso: Resaltador;|Unidad|1 Unidad(es)|2395
291|2088|CLIP|Material: Metal; Tamaño: 33 mm;|Caja|100 Unidad(es)|2399
291|2091|TAPE MÁGICO|Ancho: 3/4 pulgadas; Largo: 25 Metro(s);|Rollo|1 Unidad(es)|7263
